"Location Properties"
"Location Name = Pressure Transducer"
"Location ID = 5679063059922944"
"Latitude = 37.24039316383645 °"
"Longitude = -80.4825972028528 °"
"Time shown in UTC"
""
""
"Date Time","Depth (m)","Pressure (cm H₂O)","Temperature (C)"
"2020-04-29 19:00:00.000","9.73836","986.4066183492879","12.35"
"2020-04-29 19:15:00.000","9.735312","986.4066183492879","12.34"
"2020-04-29 19:30:00.000","9.735312","985.7035487709919","12.33"
"2020-04-29 19:45:00.000","9.732264","985.7035487709919","12.33"
"2020-04-29 20:00:00.000","9.732264","985.7035487709919","12.32"
"2020-04-29 20:15:00.000","9.732264","985.7035487709919","12.31"
"2020-04-29 20:30:00.000","9.73836","986.4066183492879","12.3"
"2020-04-29 20:45:00.000","9.741408000000002","986.4066183492879","12.3"
"2020-04-29 21:00:00.000","9.741408000000002","987.1096879275839","12.29"
"2020-04-29 21:15:00.000","9.741408000000002","986.4066183492879","12.28"
"2020-04-29 21:30:00.000","9.741408000000002","986.4066183492879","12.26"
"2020-04-29 21:45:00.000","9.741408000000002","986.4066183492879","12.25"
"2020-04-29 22:00:00.000","9.741408000000002","986.4066183492879","12.23"
"2020-04-29 22:15:00.000","9.741408000000002","986.4066183492879","12.22"
"2020-04-29 22:30:00.000","9.741408000000002","986.4066183492879","12.2"
"2020-04-29 22:45:00.000","9.741408000000002","986.4066183492879","12.18"
"2020-04-29 23:00:00.000","9.73836","986.4066183492879","12.16"
"2020-04-29 23:15:00.000","9.741408000000002","986.4066183492879","12.15"
"2020-04-29 23:30:00.000","9.744456","986.4066183492879","12.14"
"2020-04-29 23:45:00.000","9.744456","986.4066183492879","12.12"
"2020-04-30 00:00:00.000","9.756648","987.81275750588","12.08"
"2020-04-30 00:15:00.000","9.762744000000001","988.515827084176","12.0"
"2020-04-30 00:30:00.000","9.759696000000002","987.81275750588","11.93"
"2020-04-30 00:45:00.000","9.765792","988.515827084176","11.85"
"2020-04-30 01:00:00.000","9.768839999999999","988.515827084176","11.77"
"2020-04-30 01:15:00.000","9.768839999999999","988.515827084176","11.7"
"2020-04-30 01:30:00.000","9.768839999999999","988.515827084176","11.63"
"2020-04-30 01:45:00.000","9.768839999999999","988.515827084176","11.58"
"2020-04-30 02:00:00.000","9.771888","988.515827084176","11.51"
"2020-04-30 02:15:00.000","9.765792","988.515827084176","11.45"
"2020-04-30 02:30:00.000","9.777984","989.2188966624719","11.4"
